elevator,reason,out_of_service,first_missed,estimated_return
EL250,Maintenance,2018-02-25 01:15:00+00:00,2018-02-25 05:46:07.534646+00:00,2018-02-25 15:00:00+00:00
EL250,Under Investigation,2018-02-25 03:00:00+00:00,2018-02-25 05:44:07.945495+00:00,2018-02-25 15:00:00+00:00
EL249,Modifications In Progress,2018-02-25 03:00:00+00:00,2018-02-25 15:57:07.345115+00:00,2018-02-25 16:00:00+00:00
EL249,Modifications In Progress,2018-02-25 03:51:00+00:00,2018-02-25 07:11:07.637410+00:00,2018-02-25 16:00:00+00:00
EL250,Modifications In Progress,2018-02-25 03:07:00+00:00,2018-02-25 10:02:06.877882+00:00,2018-02-25 16:00:00+00:00
EL195,Under Investigation,2018-02-25 03:30:00+00:00,2018-02-25 06:40:06.635880+00:00,2018-02-25 16:00:00+00:00
EL249,Maintenance,2018-02-25 04:28:00+00:00,2018-02-25 05:57:08.210672+00:00,2018-02-25 17:00:00+00:00
EL127,Under Investigation,2018-02-25 04:46:00+00:00,2018-02-25 07:16:07.756111+00:00,2018-02-25 17:00:00+00:00
EL110,Repair,2018-02-24 16:37:00+00:00,2018-02-24 18:32:08.273203+00:00,2018-02-25 17:00:00+00:00
EL336,Under Investigation,2018-02-25 05:26:00+00:00,2018-02-25 09:07:08.087985+00:00,2018-02-25 18:00:00+00:00
EL603,Repair,2018-02-25 05:28:00+00:00,2018-02-25 16:07:06.924896+00:00,2018-02-25 18:00:00+00:00
EL113,Under Investigation,2018-02-25 07:55:00+00:00,2018-02-25 10:10:06.715115+00:00,2018-02-25 19:00:00+00:00
