station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-02-28T07:32:00.000Z,2018-02-28T10:00:06.493Z,2018-02-28T11:00:00.000Z,2.4684702777777776
72 St / 2 Av - (ID: 62),EL264,LOWER MEZZANINE TO STREET,2018-02-28T07:11:00.000Z,2018-02-28T11:05:07.524Z,2018-02-28T11:00:00.000Z,3.90209
72 St / 2 Av - (ID: 62),EL267,LOWER MEZZANINE TO STREET,2018-02-28T07:08:00.000Z,2018-02-28T09:18:06.784Z,2018-02-28T11:00:00.000Z,2.1685511111111113
175 St - (ID: 57),EL124,MEZZANINE TO PLATFORM,2018-02-28T06:45:00.000Z,2018-02-28T07:56:07.743Z,2018-02-28T11:00:00.000Z,1.1854841666666667
Lexington Av / 63 St - (ID: 17),EL441,MEZZANINE TO PLATFORMS,2018-02-28T06:35:00.000Z,2018-02-28T07:22:07.475Z,2018-02-28T11:00:00.000Z,0.7854097222222223
Lexington Av / 63 St - (ID: 17),EL442,MEZZANINE TO PLATFORMS,2018-02-28T06:37:00.000Z,2018-02-28T07:23:07.545Z,2018-02-28T11:00:00.000Z,0.7687625
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-02-28T06:39:00.000Z,2018-02-28T07:24:06.386Z,2018-02-28T11:00:00.000Z,0.751773888888889
Lexington Av / 63 St - (ID: 17),EL440,MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM,2018-02-28T06:10:00.000Z,2018-02-28T10:05:08.344Z,2018-03-01T14:00:00.000Z,3.9189844444444444
168 St - (ID: 47),EL114,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-28T05:57:00.000Z,2018-02-28T07:41:07.270Z,2018-03-02T05:00:00.000Z,1.7353527777777777
Fulton St - (ID: 13),EL723,UPPER MEZZANINE TO STREET,2018-02-28T05:57:00.000Z,2018-02-28T10:27:08.315Z,2018-02-28T11:00:00.000Z,4.502309722222222
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-02-28T05:53:00.000Z,2018-02-28T09:49:07.000Z,2018-02-28T13:00:00.000Z,3.935277777777778
72 St - (ID: 43),EL240,STREET TO DOWNTOWN PLATFORM,2018-02-28T05:25:00.000Z,2018-02-28T10:06:07.600Z,2018-02-28T11:00:00.000Z,4.685444444444444
Jamaica - Van Wyck - (ID: 15),EL409,STREET TO MEZZANINE,2018-02-28T05:25:00.000Z,2018-02-28T09:10:06.651Z,2018-02-28T11:00:00.000Z,3.7518475
Atlantic Av-Barclays Ctr - (ID: 9),EL307,MIDDLE MEZZANINE TO B/Q PLATFORM,2018-02-28T04:50:00.000Z,2018-02-28T09:55:07.835Z,2018-02-28T11:00:00.000Z,5.0855097222222225
Marcy Av - (ID: 64),EL391,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-02-28T04:45:00.000Z,2018-02-28T09:02:07.124Z,2018-02-28T17:00:00.000Z,4.285312222222222
Utica Av - (ID: 77),EL345,NORTHBOUND PLATFORM TO MEZZANINE,2018-02-28T04:57:00.000Z,2018-02-28T09:48:07.551Z,2018-02-28T11:00:00.000Z,4.8520975
Prospect Park - (ID: 37),EL382,STREET TO UPTOWN PLATFORM,2018-02-28T04:54:00.000Z,2018-02-28T06:40:06.921Z,2018-02-28T11:00:00.000Z,1.7685891666666669
Lexington Av / 63 St - (ID: 17),EL401,STREET TO MEZZANINE,2018-02-28T04:30:00.000Z,2018-02-28T08:57:07.901Z,2018-02-28T07:00:00.000Z,4.452194722222222
Euclid Av - (ID: 32),EL343,MEZZANINE TO DOWNTOWN,2018-02-28T04:45:00.000Z,2018-02-28T09:25:07.088Z,2018-02-28T11:00:00.000Z,4.668635555555555
Queens Plaza - (ID: 84),EL429,MEZZANINE TO DOWNTOWN,2018-02-28T04:35:00.000Z,2018-02-28T09:47:07.895Z,2018-02-28T11:00:00.000Z,5.202193055555556
135 St - (ID: 19),EL181,STREET TO MEZZANINE AND DOWNTOWN PLATFORM,2018-02-28T04:35:00.000Z,2018-02-28T10:02:08.290Z,2018-02-28T10:00:00.000Z,5.452302777777778
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-02-28T04:40:00.000Z,2018-02-28T10:14:07.647Z,2018-02-28T11:00:00.000Z,5.568790833333334
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE,2018-02-28T04:30:00.000Z,2018-02-28T10:00:06.493Z,2018-02-28T11:00:00.000Z,5.501803611111111
Times Sq - 42 St - (ID: 18),EL229,MEZZANINE TO DOWNTOWN,2018-02-28T04:15:00.000Z,2018-02-28T10:16:08.318Z,2018-02-28T11:00:00.000Z,6.0189772222222215
72 St / 2 Av - (ID: 62),EL259,PLATFORM TO LOWER MEZZANINE,2018-02-28T03:30:00.000Z,2018-02-28T06:06:07.743Z,2018-02-28T11:00:00.000Z,2.6021508333333334
Kingsbridge Road - (ID: 72),EL189,STREET TO MEZZANINE,2018-02-28T02:05:00.000Z,2018-02-28T04:39:07.297Z,2018-02-28T15:00:00.000Z,2.568693611111111
Ozone Park / Lefferts Blvd - (ID: 83),EL462,STREET TO MEZZANINE,2018-02-28T02:15:00.000Z,2018-02-28T08:46:07.933Z,2018-02-28T15:00:00.000Z,6.518870277777778
42 St - Bryant Park - (ID: 79),EL295X,NW Corner of 39th & 6th,2018-02-28T01:56:00.000Z,2018-03-01T00:45:06.628Z,2018-02-28T14:00:00.000Z,22.818507777777775
34 St - Penn - (ID: 7),EL215,MEZZANINE TO EXPRESS PLATFORM,2018-02-28T01:40:00.000Z,2018-03-03T19:14:08.567Z,2018-02-28T14:00:00.000Z,89.56904638888888
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-02-28T01:45:00.000Z,2018-02-28T05:54:08.160Z,2018-02-28T13:00:00.000Z,4.152266666666667
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-02-28T01:37:00.000Z,2018-02-28T06:09:06.889Z,2018-02-28T14:00:00.000Z,4.535246944444443
Bowling Green - (ID: 71),EL710,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-02-27T23:34:00.000Z,2018-02-28T00:40:06.886Z,2018-02-28T05:00:00.000Z,1.1019127777777777
Court Square - (ID: 68),EL446,STREET TO MEZZANINE,2018-02-27T23:10:00.000Z,2018-02-28T06:37:07.072Z,2018-03-01T04:00:00.000Z,7.451964444444444
125 St - (ID: 1),EL143,MEZZANINE AND DOWNTOWN,2018-02-27T22:58:00.000Z,2018-03-04T00:03:07.139Z,2018-03-01T04:00:00.000Z,97.0853163888889
Coney Island Stillwell Av - (ID: 66),EL701,OVERPASS TO N PLATFORM,2018-02-27T22:35:00.000Z,2018-03-01T16:50:07.090Z,2018-02-28T11:00:00.000Z,42.25196944444444
Franklin Av - (ID: 31),EL339,STREET TO DOWNTOWN C PLATFORM AND S PLATFORM,2018-02-27T22:33:00.000Z,2018-02-28T03:48:07.604Z,2018-02-28T11:00:00.000Z,5.252112222222222
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-02-27T22:03:00.000Z,2018-02-28T01:45:06.447Z,2018-02-28T04:00:00.000Z,3.7017908333333334
Junction Blvd - (ID: 73),EL427,OVERPASS TO UPTOWN PLATFORM,2018-02-27T21:50:00.000Z,2018-02-28T01:35:08.327Z,2018-02-28T10:00:00.000Z,3.7523130555555553
96 St / 2 Av - (ID: 61),EL247,PLATFORM TO MEZZANINE,2018-02-27T21:50:00.000Z,2018-02-27T22:03:08.346Z,2018-02-28T10:00:00.000Z,0.218985
Atlantic Av-Barclays Ctr - (ID: 9),EL700X,STREET TO MEZZANINE,2018-02-27T21:36:00.000Z,2018-02-28T18:58:08.746Z,2018-02-28T04:00:00.000Z,21.369096111111112
Lexington Av / 63 St - (ID: 17),EL444,MEZZANINE TO STREET,2018-02-27T21:30:00.000Z,2018-02-27T22:05:07.319Z,2018-02-28T03:00:00.000Z,0.5853663888888889
Jackson Hts - Roosevelt Av - (ID: 14),EL421,MEZZANINE TO DOWNTOWN E/F/M/R,2018-02-27T20:49:00.000Z,2018-02-27T21:57:07.824Z,2018-02-28T09:00:00.000Z,1.1355066666666667
Howard Beach - (ID: 82),EL492X,MEZZANINE TO DOWNTOWN,2018-02-27T20:57:00.000Z,2018-02-28T10:44:07.899Z,2018-02-28T03:00:00.000Z,13.785527499999999
168 St - (ID: 81),EL140,MEZZANINE TO NORTHBOUND PLATFORM,2018-02-27T20:45:00.000Z,2018-02-28T01:55:07.849Z,2018-02-28T09:00:00.000Z,5.168846944444444
Lexington Av / 63 St - (ID: 17),EL401,STREET TO MEZZANINE,2018-02-27T18:46:00.000Z,2018-02-28T04:32:07.110Z,2018-02-28T07:00:00.000Z,9.768641666666667
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-02-27T18:27:00.000Z,2018-02-27T22:19:08.152Z,2018-02-28T07:00:00.000Z,3.868931111111111
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM,2018-02-27T18:20:00.000Z,2018-02-27T19:42:07.462Z,2018-02-28T07:00:00.000Z,1.3687394444444445
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-02-27T18:07:00.000Z,2018-02-27T18:31:07.017Z,2018-02-28T07:00:00.000Z,0.40194916666666664
Briarwood/Van Wyck Blvd - (ID: 70),EL424,STREET TO MEZZANINE,2018-02-27T17:50:00.000Z,2018-02-27T21:05:08.352Z,2018-02-28T06:00:00.000Z,3.25232
Coney Island Stillwell Av - (ID: 66),EL701,OVERPASS TO N PLATFORM,2018-02-27T17:15:00.000Z,2018-02-27T19:24:06.107Z,2018-02-28T05:00:00.000Z,2.151696388888889
Forest Hills - 71 Av - (ID: 69),EL437,STREET TO MEZZANINE ALL TRAINS,2018-02-27T17:08:00.000Z,2018-02-27T18:12:08.249Z,2018-02-27T21:10:00.000Z,1.0689580555555556
125 St - (ID: 1),EL143,MEZZANINE AND DOWNTOWN,2018-02-27T16:44:00.000Z,2018-02-27T19:40:06.964Z,2018-02-28T05:00:00.000Z,2.9352677777777774
Simpson St - (ID: 38),EL127,STREET TO UPTOWN PLATFORM,2018-02-27T16:30:00.000Z,2018-02-27T18:00:06.412Z,2018-02-28T04:35:00.000Z,1.5017811111111112
Court St - (ID: 11),EL309,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-27T16:25:00.000Z,2018-02-28T00:26:07.844Z,2018-02-28T05:00:00.000Z,8.018845555555556
72 St / 2 Av - (ID: 62),EL267,LOWER MEZZANINE TO STREET,2018-02-27T16:02:00.000Z,2018-02-27T19:53:08.561Z,2018-02-28T05:00:00.000Z,3.8523780555555556
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-02-27T15:17:00.000Z,2018-03-02T20:11:09.427Z,2018-02-28T04:00:00.000Z,76.90261861111112
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-02-27T15:20:00.000Z,2018-02-27T17:12:07.152Z,2018-02-27T21:00:00.000Z,1.8686533333333335
175 St - (ID: 57),EL124,MEZZANINE TO PLATFORM,2018-02-27T15:13:00.000Z,2018-02-27T19:47:07.009Z,2018-02-28T03:00:00.000Z,4.56861361111111
207 St - Inwood - (ID: 24),EL149,MEZZANINE TO PLATFORM,2018-02-27T15:10:00.000Z,2018-02-28T00:32:08.462Z,2018-02-28T03:10:00.000Z,9.369017222222222
34 St - Penn - (ID: 53),EL226,UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE,2018-02-27T15:05:00.000Z,2018-02-27T17:50:06.498Z,2018-02-27T21:00:00.000Z,2.7518049999999996
Flushing Av - (ID: 26),EL394,MEZZANINE TO DOWNTOWN,2018-02-27T14:50:00.000Z,2018-02-27T17:36:06.790Z,2018-02-28T02:50:00.000Z,2.768552777777778
Crown Hts - Utica Av - (ID: 54),EL323,MEZZANINE TO PLATFORMS,2018-02-27T14:49:00.000Z,2018-02-27T19:58:07.231Z,2018-02-27T21:00:00.000Z,5.152008611111111
34 St - Herald Sq - (ID: 22),EL213,STREET TO MEZZANINE,2018-02-27T14:38:00.000Z,2018-02-27T16:12:06.071Z,2018-02-28T03:00:00.000Z,1.5683530555555556
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7),2018-02-27T14:45:00.000Z,2018-02-27T15:14:06.132Z,2018-02-27T21:00:00.000Z,0.48503666666666667
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM,2018-02-27T14:22:00.000Z,2018-02-27T16:09:07.626Z,2018-02-28T03:00:00.000Z,1.7854516666666667
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-02-27T14:10:00.000Z,2018-02-27T20:12:07.019Z,2018-02-28T02:10:00.000Z,6.035283055555555
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM,2018-02-27T14:06:00.000Z,2018-02-27T19:58:07.231Z,2018-02-28T02:00:00.000Z,5.868675277777778
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-27T13:55:00.000Z,2018-02-27T15:18:06.785Z,2018-02-28T01:55:00.000Z,1.3852180555555555
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-02-27T13:30:00.000Z,2018-02-27T16:19:07.679Z,2018-02-27T19:00:00.000Z,2.8187997222222223
61 St - Woodside - (ID: 80),EL415X,STREET TO LIRR PLATFORM A & MEZZANINE,2018-02-27T05:45:00.000Z,2018-02-27T18:01:07.422Z,2018-02-27T18:00:00.000Z,12.268728333333334
42 St - Port Authority Bus Terminal - (ID: 56),EL291X,STREET TO INTERMEDIATE LANDING,2018-02-27T05:05:00.000Z,2018-02-27T18:01:07.422Z,2018-02-27T18:00:00.000Z,12.935395
42 St - Bryant Park - (ID: 79),EL295X,NW Corner of 39th & 6th,2018-02-27T07:45:00.000Z,2018-02-27T18:01:07.422Z,2018-02-27T20:00:00.000Z,10.268728333333334
72 St - (ID: 43),EL240,STREET TO DOWNTOWN PLATFORM,2018-02-27T12:15:00.000Z,2018-02-27T15:08:09.769Z,2018-02-28T01:00:00.000Z,2.8860469444444443
42 St - Port Authority Bus Terminal - (ID: 56),EL291X,STREET TO INTERMEDIATE LANDING,2018-02-23T05:00:00.000Z,2018-02-27T10:47:07.490Z,2018-02-28T01:00:00.000Z,101.78541388888888
Marcy Av - (ID: 64),EL391,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-02-27T08:10:00.000Z,2018-02-27T11:17:08.835Z,2018-02-27T11:00:00.000Z,3.119120833333333
34 St - Herald Sq - (ID: 22),EL211,MEZZANINE TO DOWNTOWN,2018-02-27T07:50:00.000Z,2018-02-27T10:05:07.439Z,2018-02-27T20:00:00.000Z,2.252066388888889
Euclid Av - (ID: 32),EL342,MEZZANINE TO UPTOWN,2018-02-27T07:11:00.000Z,2018-02-27T11:14:08.426Z,2018-02-27T20:00:00.000Z,4.052340555555555
Simpson St - (ID: 38),EL127,STREET TO UPTOWN PLATFORM,2018-02-27T06:35:00.000Z,2018-02-27T09:55:06.780Z,2018-02-27T18:00:00.000Z,3.3352166666666667
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN,2018-02-27T06:00:00.000Z,2018-02-27T09:52:07.420Z,2018-02-27T19:00:00.000Z,3.868727777777778
34 St - Herald Sq - (ID: 22),EL210,MEZZANINE TO UPTOWN,2018-02-27T06:05:00.000Z,2018-02-27T07:42:06.947Z,2018-02-27T11:00:00.000Z,1.618596388888889
Atlantic Av-Barclays Ctr - (ID: 9),EL307,MIDDLE MEZZANINE TO B/Q PLATFORM,2018-02-27T05:40:00.000Z,2018-02-27T10:02:08.110Z,2018-02-27T18:00:00.000Z,4.368919444444445
Jamaica - Van Wyck - (ID: 15),EL408,MEZZANINE TO PLATFORM,2018-02-27T05:20:00.000Z,2018-02-27T08:50:06.255Z,2018-02-27T11:00:00.000Z,3.5017374999999995
125 St - (ID: 27),EL126,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS,2018-02-27T05:01:00.000Z,2018-02-27T09:51:08.221Z,2018-02-27T11:00:00.000Z,4.835616944444444
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL411,MEZZANINE TO PLATFORM,2018-02-27T05:24:00.000Z,2018-02-27T08:32:07.334Z,2018-02-27T11:00:00.000Z,3.1353705555555558
Jackson Hts - Roosevelt Av - (ID: 14),EL423,MEZZANINE TO DOWNTOWN 7,2018-02-27T05:17:00.000Z,2018-02-27T09:32:07.740Z,2018-02-27T18:00:00.000Z,4.252149999999999
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE,2018-02-27T05:19:00.000Z,2018-02-27T09:26:08.808Z,2018-02-27T11:00:00.000Z,4.119113333333334
34 St - Herald Sq - (ID: 22),EL209,MEZZANINE TO DOWNTOWN,2018-02-27T05:20:00.000Z,2018-02-27T06:01:08.165Z,2018-02-27T17:00:00.000Z,0.6856013888888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL328,STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM,2018-02-27T05:12:00.000Z,2018-02-27T07:25:06.012Z,2018-02-27T11:00:00.000Z,2.2183366666666666
168 St - (ID: 47),EL112,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-27T05:12:00.000Z,2018-02-27T09:21:08.399Z,2018-02-27T11:00:00.000Z,4.152333055555555
Utica Av - (ID: 77),EL344,STREET TO MEZZANINE,2018-02-27T04:58:00.000Z,2018-02-27T10:04:07.194Z,2018-02-27T11:00:00.000Z,5.1019983333333325
Fulton St - (ID: 13),EL720,CENTER ISLAND LOWER PLATFORM TO MEZZANINE,2018-02-27T04:54:00.000Z,2018-02-27T11:05:08.156Z,2018-02-27T11:00:00.000Z,6.185598888888888
14 St - Union Sq - (ID: 36),EL219,MEZZANINE TO UPTOWN PLATFORM N/Q/R,2018-02-27T04:40:00.000Z,2018-02-27T08:54:05.929Z,2018-02-27T11:00:00.000Z,4.234980277777778
125 St - (ID: 27),EL126,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS,2018-02-27T04:25:00.000Z,2018-02-27T04:42:06.497Z,2018-02-27T11:00:00.000Z,0.2851380555555556
Times Sq - 42 St - (ID: 18),EL229,MEZZANINE TO DOWNTOWN,2018-02-27T04:19:00.000Z,2018-02-27T10:16:07.929Z,2018-02-27T11:00:00.000Z,5.9522025
72 St - (ID: 43),EL240,STREET TO DOWNTOWN PLATFORM,2018-02-27T04:15:00.000Z,2018-02-27T09:54:06.752Z,2018-02-27T11:00:00.000Z,5.651875555555555
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-02-27T03:48:00.000Z,2018-02-27T07:42:06.947Z,2018-02-27T16:00:00.000Z,3.901929722222222
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-02-27T03:45:00.000Z,2018-02-27T09:44:07.823Z,2018-02-27T16:00:00.000Z,5.985506388888889
Times Sq - 42 St - (ID: 18),EL230,MEZZANINE TO UPTOWN,2018-02-27T03:47:00.000Z,2018-02-27T05:46:07.207Z,2018-02-27T11:00:00.000Z,1.985335277777778
Church Av - (ID: 74),EL374,MEZZANINE TO UPTOWN,2018-02-27T02:18:00.000Z,2018-02-27T04:51:06.542Z,2018-02-27T15:00:00.000Z,2.5518172222222217
Lexington Av / 63 St - (ID: 17),EL442,MEZZANINE TO PLATFORMS,2018-02-27T00:48:00.000Z,2018-02-27T03:32:07.618Z,2018-02-27T13:00:00.000Z,2.7354494444444444
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-26T23:38:00.000Z,2018-02-27T03:52:07.666Z,2018-02-27T11:00:00.000Z,4.235462777777777
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET,2018-02-26T23:04:00.000Z,2018-02-27T02:26:07.903Z,2018-02-27T12:00:00.000Z,3.3688619444444448
Prospect Park - (ID: 37),EL383,STREET TO DOWNTOWN PLATFORM,2018-02-26T22:39:00.000Z,2018-02-27T02:55:07.130Z,2018-02-27T11:00:00.000Z,4.2686472222222225
191 St - (ID: 28),EL106,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-26T22:17:00.000Z,2018-02-27T02:13:08.169Z,2018-02-27T11:00:00.000Z,3.9356025
191 St - (ID: 28),EL106,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-26T22:14:00.000Z,2018-02-26T22:24:07.457Z,2018-02-27T11:00:00.000Z,0.16873805555555554
Simpson St - (ID: 38),EL128,STREET TO DOWNTOWN PLATFORM,2018-02-26T19:56:00.000Z,2018-02-27T00:32:06.648Z,2018-02-27T08:00:00.000Z,4.601846666666668
125 St - (ID: 1),EL143,MEZZANINE AND DOWNTOWN,2018-02-26T20:56:00.000Z,2018-02-27T01:06:07.935Z,2018-02-27T03:00:00.000Z,4.168870833333333
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-02-26T20:47:00.000Z,2018-02-27T10:04:07.194Z,2018-02-27T03:00:00.000Z,13.285331666666668
Times Sq - 42 St - (ID: 18),EL230,MEZZANINE TO UPTOWN,2018-02-26T20:09:00.000Z,2018-02-27T00:11:08.831Z,2018-02-27T03:00:00.000Z,4.035786388888889
Bowling Green - (ID: 71),EL711,MEZZANINE TO DOWNTOWN,2018-02-26T17:31:00.000Z,2018-02-27T02:23:06.883Z,2018-02-27T06:00:00.000Z,8.868578611111111
47-50 St - Rockefeller Ctr - (ID: 50),EL234,STREET TO MEZZANINE,2018-02-26T14:53:00.000Z,2018-02-26T16:14:08.008Z,2018-02-27T02:00:00.000Z,1.3522244444444445
49 St - (ID: 75),EL268X,STREET TO MEZZANINE,2018-02-26T14:00:00.000Z,2018-02-27T10:39:06.893Z,2018-02-27T02:00:00.000Z,20.65191472222222
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-02-26T14:45:00.000Z,2018-02-26T23:00:06.425Z,2018-02-27T02:45:00.000Z,8.251784722222222
Crown Hts - Utica Av - (ID: 54),EL323,MEZZANINE TO PLATFORMS,2018-02-26T14:40:00.000Z,2018-02-26T19:54:05.961Z,2018-02-27T02:40:00.000Z,5.234989166666667
Court St - (ID: 11),EL308,LOWER MEZZANINE TO UPPER MEZZANINE,2018-02-26T14:30:00.000Z,2018-02-26T19:50:07.119Z,2018-02-26T21:00:00.000Z,5.335310833333334
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-02-26T14:15:00.000Z,2018-02-26T19:58:07.615Z,2018-02-27T02:00:00.000Z,5.718781944444445
Fulton St - (ID: 13),EL716,3 LANDINGS,2018-02-26T14:15:00.000Z,2018-02-27T20:34:07.035Z,2018-02-27T02:00:00.000Z,30.318620833333334
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM,2018-02-26T14:05:00.000Z,2018-02-26T20:12:06.288Z,2018-02-27T03:00:00.000Z,6.118413333333334
Lexington Av / 63 St - (ID: 17),EL440,MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM,2018-02-26T14:00:00.000Z,2018-02-27T22:11:09.147Z,2018-02-27T02:00:00.000Z,32.185874166666665
Court Square - (ID: 68),EL447,LEVEL 2 TO MEZZANINE,2018-02-26T13:07:00.000Z,2018-02-26T15:18:06.027Z,2018-02-27T02:00:00.000Z,2.1850074999999998
42 St - Grand Central - (ID: 49),EL205,MEZZANINE TO DOWNTOWN 4/5/6 PLATFORM,2018-02-26T12:28:00.000Z,2018-02-26T14:30:06.278Z,2018-02-27T00:00:00.000Z,2.035077222222222
Franklin Av - (ID: 31),EL339,STREET TO DOWNTOWN C PLATFORM AND S PLATFORM,2018-02-26T11:40:00.000Z,2018-02-26T15:35:06.221Z,2018-02-26T23:00:00.000Z,3.918394722222222
233 St - (ID: 44),EL192,STREET TO MEZZANINE,2018-02-26T09:02:00.000Z,2018-02-26T12:00:06.021Z,2018-02-26T22:00:00.000Z,2.968339166666667
42 St - Grand Central - (ID: 49),EL205,MEZZANINE TO DOWNTOWN 4/5/6 PLATFORM,2018-02-26T09:07:00.000Z,2018-02-26T10:37:07.292Z,2018-02-26T22:00:00.000Z,1.5020255555555557
233 St - (ID: 44),EL194,MEZZANINE TO SOUTHBOUND PLATFORM,2018-02-26T09:01:00.000Z,2018-02-26T12:02:07.170Z,2018-02-26T22:00:00.000Z,3.018658333333333
233 St - (ID: 44),EL193,MEZZANINE TO DOWNTOWN PLATFORM,2018-02-26T08:58:00.000Z,2018-02-26T12:01:06.091Z,2018-02-26T21:00:00.000Z,3.0516919444444444
Coney Island Stillwell Av - (ID: 66),EL701,OVERPASS TO N PLATFORM,2018-02-26T07:49:00.000Z,2018-02-26T10:22:08.329Z,2018-02-26T18:00:00.000Z,2.552313611111111
Atlantic Av-Barclays Ctr - (ID: 9),EL305,MEZZANINE TO 4/ 5 PLATFORM,2018-02-26T07:49:00.000Z,2018-02-26T10:33:09.267Z,2018-02-26T18:00:00.000Z,2.7359075
161 St - Yankee Stadium - (ID: 3),EL134,MEZZANINE TO DOWNTOWN B/ D,2018-02-26T07:33:00.000Z,2018-02-26T10:39:07.442Z,2018-02-26T20:00:00.000Z,3.1020672222222223
Church Av - (ID: 74),EL374,MEZZANINE TO UPTOWN,2018-02-26T06:57:00.000Z,2018-02-26T09:31:07.406Z,2018-02-26T19:00:00.000Z,2.568723888888889
Church Av - (ID: 74),EL374,MEZZANINE TO UPTOWN,2018-02-26T06:45:00.000Z,2018-02-26T07:27:07.762Z,2018-02-26T19:00:00.000Z,0.7021561111111112
Marcy Av - (ID: 64),EL392,STREET TO MEZZANINE AND DOWNTOWN PLATFORM,2018-02-26T07:00:00.000Z,2018-02-26T08:38:09.786Z,2018-02-26T11:00:00.000Z,1.6360516666666667
Euclid Av - (ID: 32),EL342,MEZZANINE TO UPTOWN,2018-02-26T05:56:00.000Z,2018-02-26T10:54:08.558Z,2018-02-26T18:00:00.000Z,4.969043888888889
Lexington Av / 63 St - (ID: 17),EL440,MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM,2018-02-26T05:19:00.000Z,2018-02-26T10:06:07.198Z,2018-02-26T18:00:00.000Z,4.7853327777777785
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE,2018-02-26T04:44:00.000Z,2018-02-26T16:06:06.637Z,2018-02-26T17:00:00.000Z,11.368510277777778
125 St - (ID: 27),EL126,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS,2018-02-26T04:45:00.000Z,2018-02-26T12:07:06.901Z,2018-02-26T10:00:00.000Z,7.368583611111111
Marcy Av - (ID: 64),EL391,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-02-26T04:38:00.000Z,2018-02-26T06:58:09.283Z,2018-02-26T11:00:00.000Z,2.3359119444444443
42 St - Grand Central - (ID: 49),EL206,MEZZANINE TO UPTOWN 4/5/6 PLATFORM,2018-02-26T04:40:00.000Z,2018-02-26T10:29:08.428Z,2018-02-26T10:00:00.000Z,5.819007777777778
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-02-26T04:37:00.000Z,2018-02-26T09:48:06.584Z,2018-02-26T11:00:00.000Z,5.185162222222222
